iter	Passed	Remaining
592	33223	78828
593	33279	78772
594	33333	78711
595	33388	78653
596	33439	78585
597	33491	78519
598	33544	78457
599	33596	78392
600	33647	78324
601	33702	78265
602	33756	78205
603	33815	78157
604	33889	78140
605	33951	78100
606	34011	78052
607	34059	77977
608	34113	77917
609	34169	77861
610	34228	77811
611	34283	77754
612	34339	77697
613	34390	77630
614	34447	77577
615	34502	77517
616	34560	77466
617	34611	77400
618	34675	77361
619	34738	77320
620	34792	77261
621	34846	77200
622	34904	77148
623	34951	77072
624	35003	77007
625	35055	76942
626	35113	76890
627	35169	76836
628	35222	76772
629	35275	76709
630	35330	76652
631	35390	76604
632	35443	76542
633	35505	76500
634	35562	76445
635	35621	76395
636	35677	76339
637	35738	76293
638	35792	76234
639	35848	76178
640	35900	76113
641	35956	76058
642	36014	76004
643	36064	75937
644	36112	75864
645	36165	75801
646	36218	75740
647	36272	75680
648	36329	75626
649	36386	75571
650	36448	75527
651	36512	75489
652	36571	75438
653	36619	75366
654	36669	75297
655	36718	75228
656	36781	75186
657	36835	75125
658	36892	75071
659	36948	75017
660	37004	74960
661	37066	74917
662	37117	74851
663	37177	74802
664	37231	74743
665	37289	74690
666	37340	74625
667	37396	74568
668	37453	74514
669	37502	74446
670	37560	74392
671	37613	74330
672	37667	74272
673	37723	74216
674	37781	74164
675	37833	74099
676	37899	74063
677	37956	74009
678	38012	73953
679	38065	73891
680	38120	73833
681	38177	73779
682	38224	73707
683	38279	73649
684	38338	73599
685	38399	73552
686	38453	73492
687	38509	73436
688	38564	73378
689	38616	73314
690	38676	73266
691	38729	73205
692	38793	73164
693	38852	73114
694	38915	73071
695	38975	73022
696	39025	72956
697	39089	72914
698	39153	72873
699	39212	72822
700	39271	72773
701	39322	72707
702	39381	72656
703	39434	72595
704	39495	72549
705	39553	72496
706	39610	72442
707	39662	72379
708	39717	72321
709	39773	72263
710	39838	72224
711	39889	72160
712	39949	72111
713	40005	72054
714	40057	71992
715	40103	71918
716	40161	71864
717	40211	71798
718	40260	71729
719	40318	71677
720	40373	71618
721	40430	71565
722	40485	71506
723	40540	71449
724	40588	71379
725	40636	71309
726	40687	71245
727	40749	71200
728	40806	71144
729	40858	71082
730	40912	71023
731	40970	70970
732	41037	70933
733	41094	70879
734	41145	70814
735	41194	70747
736	41251	70693
737	41306	70635
738	41360	70576
739	41414	70516
740	41468	70457
741	41527	70405
742	41588	70358
743	41646	70307
744	41706	70256
745	41766	70208
746	41826	70159
747	41884	70105
748	41953	70071
749	42030	70050
750	42089	69999
751	42138	69931
752	42188	69865
753	42243	69808
754	42301	69754
755	42356	69697
756	42414	69645
757	42485	69612
758	42537	69551
759	42610	69522
760	42676	69482
761	42740	69439
762	42795	69382
763	42871	69357
764	42931	69307
765	42987	69251
766	43039	69187
767	43125	69179
768	43182	69125
769	43236	69066
770	43301	69023
771	43358	68969
772	43408	68903
773	43462	68844
774	43528	68803
775	43580	68740
776	43635	68682
777	43686	68617
778	43738	68556
779	43792	68495
780	43867	68468
781	43925	68415
782	43979	68357
783	44033	68296
784	44094	68248
785	44151	68193
786	44215	68148
787	44263	68080
788	44316	68020
789	44365	67952
790	44417	67889
791	44492	67861
792	44550	67809
793	44608	67755
794	44658	67689
795	44715	67635
796	44772	67579
797	44826	67520
798	44885	67468
799	44942	67413
800	45005	67368
801	45066	67318
802	45121	67260
803	45186	67218
804	45242	67160
805	45317	67132
806	45380	67086
807	45435	67028
808	45494	66975
809	45551	66921
810	45611	66870
811	45666	66811
812	45726	66762
813	45780	66702
814	45843	66656
815	45906	66608
816	45964	66555
817	46025	66505
818	46079	66446
819	46137	66392
820	46195	66338
821	46254	66286
822	46319	66243
823	46368	66176
824	46429	66126
825	46494	66083
826	46555	66033
827	46615	65981
828	46669	65922
829	46724	65864
830	46781	65808
831	46840	65756
832	46899	65704
833	46949	65638
834	47012	65592
835	47072	65541
836	47137	65497
837	47196	65443
838	47255	65391
839	47312	65336
840	47366	65276
841	47424	65222
842	47466	65146
843	47525	65094
844	47579	65034
845	47637	64980
846	47705	64940
847	47764	64887
848	47834	64849
849	47895	64800
850	47952	64744
851	48010	64690
852	48068	64635
853	48122	64576
854	48175	64515
855	48238	64468
856	48302	64422
857	48354	64359
858	48414	64307
859	48469	64250
860	48536	64208
861	48591	64149
862	48648	64094
863	48698	64029
864	48753	63970
865	48804	63907
866	48865	63858
867	48928	63810
868	48988	63758
869	49046	63703
870	49104	63649
871	49165	63599
872	49223	63545
873	49276	63484
874	49329	63424
875	49371	63349
876	49425	63289
877	49480	63231
878	49525	63159
879	49575	63095
880	49624	63030
881	49693	62989
882	49751	62935
883	49809	62881
884	49873	62835
885	49921	62768
886	49987	62724
887	50042	62666
888	50097	62607
889	50218	62632
890	50315	62626
891	50428	62639
892	50493	62594
893	50552	62539
894	50605	62478
895	50666	62427
896	50723	62372
897	50781	62317
898	50833	62255
899	50885	62193
900	50948	62144
901	51004	62088
902	51056	62025
903	51119	61976
904	51186	61932
905	51241	61873
906	51301	61822
907	51356	61764
908	51411	61705
909	51469	61650
910	51530	61598
911	51590	61547
912	51653	61497
913	51711	61442
914	51767	61385
915	51825	61331
916	51882	61274
917	51933	61211
918	51988	61153
919	52048	61100
920	52102	61040
921	52157	60982
922	52214	60925
923	52275	60874
924	52357	60847
925	52417	60794
926	52478	60743
927	52532	60683
928	52582	60620
929	52647	60573
930	52707	60520
931	52762	60461
932	52822	60409
933	52882	60356
934	52959	60322
935	53024	60275
936	53089	60228
937	53156	60183
938	53234	60150
939	53293	60096
940	53351	60041
941	53409	59986
942	53470	59934
943	53534	59886
944	53590	59829
945	53643	59768
946	53699	59709
947	53752	59648
948	53809	59593
949	53865	59535
950	53916	59472
951	53971	59413
952	54032	59362
953	54100	59317
954	54160	59264
955	54210	59200
956	54278	59156
957	54343	59108
958	54395	59046
959	54448	58986
960	54510	58934
961	54566	58877
962	54630	58828
963	54691	58776
964	54775	58748
965	54842	58703
966	54916	58664
967	54977	58612
968	55037	58559
969	55091	58499
970	55145	58439
971	55200	58380
972	55264	58331
973	55322	58275
974	55377	58217
975	55454	58181
976	55517	58131
977	55571	58071
978	55626	58013
979	55685	57958
980	55750	57909
981	55808	57854
982	55865	57797
983	55921	57740
984	55978	57683
985	56046	57637
986	56110	57588
987	56164	57528
988	56229	57479
989	56290	57428
990	56345	57369
991	56402	57312
992	56457	57253
993	56517	57200
994	56573	57141
995	56636	57091
996	56698	57039
997	56757	56984
998	56819	56933
999	56884	56884
1000	56948	56834
1001	57016	56788
1002	57086	56744
1003	57145	56690
1004	57201	56632
1005	57259	56576
1006	57323	56526
1007	57390	56479
1008	57460	56435
1009	57526	56387
1010	57582	56329
1011	57638	56271
1012	57695	56214
1013	57749	56155
1014	57811	56102
1015	57867	56044
1016	57919	55983
1017	57977	55927
1018	58031	55867
1019	58090	55812
1020	58147	55756
1021	58208	55702
1022	58268	55648
1023	58331	55597
1024	58404	55555
1025	58490	55526
1026	58546	55468
1027	58597	55405
1028	58653	55347
1029	58709	55289
1030	58759	55226
1031	58820	55173
1032	58892	55129
1033	58952	55075
1034	59007	55016
1035	59062	54957
1036	59121	54902
1037	59181	54848
1038	59239	54791
1039	59297	54736
1040	59371	54694
1041	59431	54640
1042	59504	54598
1043	59563	54542
1044	59628	54493
1045	59680	54431
1046	59733	54370
1047	59790	54313
1048	59843	54252
1049	59893	54189
1050	59956	54137
1051	60020	54086
1052	60082	54034
1053	60142	53979
1054	60196	53920
1055	60261	53869
1056	60314	53809
1057	60371	53752
1058	60429	53696
1059	60494	53645
1060	60547	53585
1061	60609	53532
1062	60680	53487
1063	60735	53429
1064	60813	53390
1065	60876	53337
1066	60957	53302
1067	61014	53244
1068	61073	53188
1069	61130	53132
1070	61189	53076
1071	61250	53022
1072	61306	52964
1073	61362	52906
1074	61423	52852
1075	61485	52799
1076	61546	52746
1077	61600	52686
1078	61661	52632
1079	61715	52572
1080	61774	52516
1081	61834	52462
1082	61886	52400
1083	61939	52340
1084	61996	52282
1085	62057	52228
1086	62112	52169
1087	62164	52108
1088	62222	52052
1089	62282	51997
1090	62356	51954
1091	62422	51904
1092	62484	51851
1093	62540	51793
1094	62591	51730
1095	62651	51675
1096	62708	51618
1097	62764	51560
1098	62829	51509
1099	62886	51452
1100	62947	51398
1101	62999	51337
1102	63058	51281
1103	63110	51220
1104	63173	51167
1105	63235	51114
1106	63296	51060
1107	63350	51000
1108	63428	50960
1109	63491	50907
1110	63553	50853
1111	63610	50796
1112	63668	50740
1113	63728	50685
1114	63788	50630
1115	63848	50575
1116	63920	50530
1117	63988	50481
1118	64062	50436
1119	64130	50388
1120	64192	50335
1121	64247	50275
1122	64321	50231
1123	64377	50173
1124	64435	50116
1125	64489	50056
1126	64544	49997
1127	64601	49939
1128	64658	49882
1129	64716	49825
1130	64771	49766
1131	64828	49709
1132	64886	49652
1133	64941	49594
1134	65010	49545
1135	65084	49501
1136	65151	49451
1137	65215	49398
1138	65272	49341
1139	65336	49288
1140	65394	49231
1141	65452	49175
1142	65509	49117
1143	65572	49065
1144	65632	49009
1145	65689	48952
1146	65745	48893
1147	65800	48834
1148	65858	48777
1149	65910	48716
1150	65967	48658
1151	66037	48611
1152	66095	48554
1153	66154	48498
1154	66218	48445
1155	66270	48384
1156	66335	48332
1157	66391	48274
1158	66459	48224
1159	66518	48168
1160	66581	48115
1161	66633	48054
1162	66702	48005
1163	66759	47947
1164	66821	47893
1165	66876	47834
1166	66936	47779
1167	67002	47727
1168	67094	47695
1169	67157	47641
1170	67248	47607
1171	67307	47551
1172	67363	47493
1173	67418	47434
1174	67480	47379
1175	67537	47321
1176	67604	47271
1177	67663	47214
1178	67735	47168
1179	67792	47109
1180	67854	47055
1181	67904	46993
1182	67966	46939
1183	68035	46889
1184	68104	46839
1185	68168	46786
1186	68223	46727
1187	68291	46677
1188	68346	46618
1189	68402	46559
1190	68464	46505
1191	68518	46445
1192	68604	46407
1193	68666	46352
1194	68731	46300
1195	68807	46255
1196	68874	46204
1197	68932	46146
1198	68988	46087
1199	69041	46027
1200	69097	45969
1201	69154	45911
1202	69207	45850
1203	69280	45803
1204	69405	45790
1205	69463	45732
1206	69520	45675
1207	69581	45619
1208	69645	45566
1209	69719	45519
1210	69791	45471
1211	69854	45416
1212	69909	45357
1213	69975	45305
1214	70033	45248
1215	70091	45190
1216	70151	45134
1217	70204	45073
1218	70263	45016
1219	70322	44960
1220	70381	44903
1221	70448	44851
1222	70509	44796
1223	70572	44741
1224	70635	44687
1225	70701	44635
1226	70761	44579
1227	70818	44521
1228	70878	44464
1229	70937	44408
1230	70999	44352
1231	71059	44296
1232	71124	44243
1233	71185	44188
1234	71245	44131
1235	71311	44079
1236	71363	44017
1237	71421	43960
1238	71486	43907
1239	71545	43850
1240	71605	43794
1241	71671	43741
1242	71731	43684
1243	71786	43625
1244	71843	43567
1245	71898	43508
1246	71956	43450
1247	72012	43391
1248	72078	43339
1249	72145	43287
1250	72207	43232
1251	72265	43174
1252	72330	43121
1253	72393	43066
1254	72457	43012
1255	72526	42961
1256	72583	42903
1257	72647	42849
1258	72708	42793
1259	72770	42738
1260	72836	42685
1261	72900	42631
1262	72959	42573
1263	73024	42520
1264	73085	42464
1265	73151	42411
1266	73219	42359
1267	73276	42301
1268	73347	42251
1269	73408	42195
1270	73473	42142
1271	73536	42087
1272	73594	42029
1273	73653	41971
1274	73715	41916
1275	73769	41856
1276	73840	41806
1277	73901	41750
1278	73956	41690
1279	74017	41634
1280	74075	41576
1281	74134	41519
1282	74201	41467
1283	74263	41411
1284	74323	41354
1285	74384	41298
1286	74449	41245
1287	74510	41188
1288	74571	41133
1289	74634	41077
1290	74701	41024
1291	74761	40968
1292	74816	40908
1293	74871	40849
1294	74931	40793
1295	74988	40734
1296	75046	40676
1297	75110	40622
1298	75170	40565
1299	75231	40509
1300	75286	40450
1301	75348	40394
1302	75410	40338
1303	75468	40280
1304	75528	40224
1305	75602	40174
1306	75660	40117
1307	75731	40066
1308	75787	40006
1309	75842	39947
1310	75902	39890
1311	75963	39834
1312	76021	39776
1313	76084	39721
1314	76145	39665
1315	76219	39615
1316	76283	39560
1317	76340	39502
1318	76402	39446
1319	76470	39394
1320	76537	39340
1321	76598	39284
1322	76659	39227
1323	76722	39172
1324	76783	39116
1325	76843	39059
1326	76897	38999
1327	76957	38942
1328	77013	38883
1329	77070	38825
1330	77136	38771
1331	77192	38711
1332	77249	38653
1333	77308	38596
1334	77369	38539
1335	77442	38489
1336	77502	38432
1337	77561	38374
1338	77617	38316
1339	77673	38257
1340	77737	38202
1341	77786	38139
1342	77848	38083
1343	77910	38027
1344	77970	37970
1345	78027	37912
1346	78086	37855
1347	78145	37797
1348	78203	37739
1349	78255	37678
1350	78314	37621
1351	78373	37563
1352	78441	37510
1353	78501	37453
1354	78555	37393
1355	78609	37333
1356	78664	37274
1357	78717	37214
1358	78771	37154
1359	78831	37097
1360	78894	37041
1361	78958	36986
1362	79016	36928
1363	79074	36870
1364	79133	36812
1365	79190	36754
1366	79246	36695
1367	79309	36640
1368	79370	36583
1369	79435	36528
1370	79499	36473
1371	79559	36416
1372	79623	36361
1373	79684	36304
1374	79742	36246
1375	79799	36187
1376	79861	36131
1377	79914	36071
1378	79970	36012
1379	80024	35952
1380	80087	35897
1381	80152	35842
1382	80213	35785
1383	80282	35732
1384	80339	35674
1385	80402	35618
1386	80475	35566
1387	80535	35509
1388	80595	35452
1389	80654	35395
1390	80717	35339
1391	80776	35281
1392	80833	35223
1393	80886	35162
1394	80939	35102
1395	80990	35041
1396	81043	34981
1397	81099	34922
1398	81155	34863
1399	81212	34805
1400	81272	34748
1401	81329	34689
1402	81382	34629
1403	81444	34573
1404	81519	34522
1405	81585	34467
1406	81644	34410
1407	81704	34353
1408	81772	34299
1409	81830	34241
1410	81889	34183
1411	81958	34130
1412	82023	34074
1413	82083	34017
1414	82143	33960
1415	82210	33905
1416	82271	33849
1417	82326	33789
1418	82388	33733
1419	82450	33676
1420	82530	33627
1421	82592	33571
1422	82652	33514
1423	82719	33459
1424	82784	33404
1425	82841	33345
1426	82896	33286
1427	82957	33229
1428	83023	33174
1429	83084	33117
1430	83141	33058
1431	83200	33001
1432	83266	32946
1433	83326	32888
1434	83383	32830
1435	83445	32773
1436	83502	32715
1437	83568	32660
1438	83633	32604
1439	83686	32544
1440	83745	32486
1441	83806	32429
1442	83859	32369
1443	83922	32313
1444	83982	32256
1445	84044	32199
1446	84100	32140
1447	84156	32081
1448	84213	32023
1449	84276	31966
1450	84343	31912
1451	84400	31853
1452	84459	31795
1453	84521	31739
1454	84582	31681
1455	84646	31626
1456	84703	31567
1457	84766	31511
1458	84818	31450
1459	84877	31393
1460	84940	31336
1461	84990	31275
1462	85054	31219
1463	85114	31162
1464	85171	31103
1465	85224	31043
1466	85286	30986
1467	85347	30929
1468	85407	30872
1469	85474	30817
